Job Title,Job ID,Time Posted,Posted,AI Recommendation,Process,AI Rating,AI Explanation,Type,Rate,URL,Full Description,Client Location,Lead Amount Spent,Project Length,Hours/Week,Scraped?
Lead Generation Specialist for Student &amp; Parent Outreach (Ages 15–18) – Event in 3 Weeks,989,5/7/2025 12:28pm,108 mins ago,No,,3,"The job is located in the UK, which is a lower priority. It involves lead generation rather than business automation, and is an hourly job at a lower rate than preferred. Although payment is verified and the client has a high rating with substantial spending, the job does not align with the user's top skills and preferences.",Hourly,$5.00,https://www.upwork.com/jobs/~021920168863456578790,,,,,,
Automation Specialist for Meeting Transcript Management,988,5/7/2025 12:23pm,113 mins ago,Yes,X,9,"The job is located in the US, which is a top priority location for you. It involves business automation work using Make.com, aligning well with your skills. The client has a high rating of 4.95 and a significant amount spent ($60K), indicating reliability. Additionally, payment is verified. While the job is hourly, which is less preferred, the alignment with your expertise and priority factors is strong enough to warrant a recommendation.",Hourly,$12.00,https://www.upwork.com/jobs/~021920167409203667364,,,,,,
Set Up Make.com for Order Integration with Airtable,987,5/7/2025 12:18pm,118 mins ago,Yes,X,9,"This job matches the user's skills in Make.com and Airtable. It is located in the US, has verified payment, and the client has a high spend of $98K with a near-perfect rating of 4.99. Although it's hourly, it aligns very closely with the user's expertise.",Hourly,$12.00,https://www.upwork.com/jobs/~021920166260861952420,,,,,,
Build a Smart AI Assistant System for an Investment Education Platform,986,5/7/2025 11:58am,2 hrs ago,No,,3,"The job is for an AI Developer, which doesn't match the user's expertise in business automation and the specific tools like Make.com, n8n, ClickUp, Airtable, etc. Although it's a fixed-rate job located in the US with payment verified and high client rating, the job requirements do not align with the user's skills.",Fixed,$30.00,https://www.upwork.com/jobs/~021920161202413887908,,,,,,
Data research,985,5/7/2025 11:55am,2 hrs ago,No,,4,"The job is focused on data research for building an investor database which does not align closely with business automation expertise. While the job is located in the US, payment is verified, and the client has high spend and rating, the lack of a direct connection to business automation tools makes it a low priority match.",Hourly,$10.00,https://www.upwork.com/jobs/~021920160571653480868,,,,,,
REI Reply + Twilio + GoHighLevel Automation Expert Needed,984,5/7/2025 11:50am,2 hrs ago,Yes,,9,"The job is a fixed-price position located in the US with a client whose payment is verified and who has a high amount spent ($52K) and high rating (4.94). The job involves GoHighLevel, an area the user is skilled in, and is related to business automation. The job matches all top priorities and preferences of the user.",Fixed,$300.00,https://www.upwork.com/jobs/~021920158949449447827,,,,,,
Online Customer List,983,5/7/2025 11:47am,2 hrs ago,No,,4,"The job is in the US and has verified payment with a high amount spent, along with a top client rating of 5.0, which is positive. However, the job is focused on data entry related to creating a customer list in Excel, which is not closely aligned with business automation. The job type is hourly and not fixed-price, which is less preferred. Overall, it's not a strong match for your skills or preferences.",Hourly,$15.00,,,,,,,
Zapier and Mailchimp Specialist for Email Automation,982,5/7/2025 11:31am,2 hrs ago,Maybe,,6,"The job is a fixed-price of $50 and focuses on automation, appealing to your skill set. However, it's based in Canada, which isn't a top priority for location. The client's payment is verified, with high spending of $119K and an excellent 5.0 rating, which is attractive. However, the focus is on Zapier and Mailchimp, which may not fully align with your preferred tools like Make.com and ClickUp. Overall, it may be worth considering given the good client profile and verification.",Fixed,$50.00,https://www.upwork.com/jobs/~021920154429886536753,,,,,,
Data Collection: List of Retired Individuals in USA and Canada,981,5/7/2025 11:24am,2 hrs ago,No,,4,"The job is mainly focused on data collection and research, not business automation. Although it is located in the US and has payment verified with a decent rating, it aligns poorly with the user's skills in automation and preferred job types.",Hourly,$10.00,https://www.upwork.com/jobs/~021920152677350160787,,,,,,
Find BUSINESS EMAIL addresses for thousands of contacts,980,5/7/2025 11:17am,2 hrs ago,No,,3,"While the job is US-based, verified with high spending, and has a high client rating, it is primarily a lead generation task, not aligned with your expertise in business automation. Additionally, the fixed price is quite low for the amount of work required.",Fixed,$150.00,https://www.upwork.com/jobs/~021920150657223334962,,,,,,
ClickUp Consultant – Hiring Workflow for Musicians (Application &amp; Automation Support),979,5/7/2025 11:14am,3 hrs ago,Maybe,,7,"This US-based job aligns with your skills in ClickUp and focuses on business automation. However, it's hourly with lower priority, and the client has no rating and low spend history, impacting its appeal.",Hourly,$31.00,https://www.upwork.com/jobs/~021920150055975303596,,,,,,
"Scraping assignment - 45,000 qualified contacts/month for lead strategy",978,5/7/2025 10:39am,3 hrs ago,No,,3,"The job is located in France, not the US or UK, and is a data scraping task rather than business automation. Although it's a fixed-price job and payment is verified, the client has no ratings and minimal spending history.",Fixed,$400.00,https://www.upwork.com/jobs/~021920141252423556145,,,,,,
Salesforce Developer,977,5/7/2025 10:38am,3 hrs ago,No,,4,"The job is for a Salesforce Developer, not a business automation expert, and does not match the user's skills in Make.com, n8n, ClickUp, Airtable, etc. Although it is located in the US, has payment verified, high client rating, and substantial amount spent, it does not align with the user's preferences and expertise.",Hourly,$75.00,,,,,,,
Lead Generation Expert Needed for Targeted Outreach,976,5/7/2025 10:27am,3 hrs ago,No,,3,"The job is located in the US and has payment verified with high client ratings and a decent amount spent, which are positives. However, the $5 fixed price is very low and not in line with the user's expertise in business automation. Additionally, the job focuses on lead generation, not business automation.",Fixed,$5.00,https://www.upwork.com/jobs/~021920137978224024625,,,,,,
Google workspace /gloss genius,975,5/7/2025 9:56am,4 hrs ago,Maybe,,6,"The job is located in the US, which is a top priority. It is an hourly job, though the user prefers fixed-price. It falls within the business automation category, but the client has a low rating with no significant amount spent, which lowers its attractiveness.",Hourly,$10.00,https://www.upwork.com/jobs/~021920130697014196652,,,,,,
Make – Automate Retell AI Call Data + Voice Files to Excel + Daily Email (FTP upload included),974,5/7/2025 9:49am,4 hrs ago,Maybe,,6,"This job matches your expertise in Make.com and involves business automation, aligned with your skills. It is fixed-price and has a client with a high rating and verified payment, which is attractive. However, the client has spent a relatively low amount and the job is located in Germany (DEU), not the US or UK, which decreases its priority slightly.",Fixed,$150.00,https://www.upwork.com/jobs/~021920128790786914732,,,,,,
"Urgent Screen Share - Go High Level, Hubspot, and Zapier Integration Expert",973,5/7/2025 9:38am,4 hrs ago,Yes,,9,"The job involves Go High Level, which matches your skills, and is located in the US, a top priority for you. The client has payment verified and a high amount spent ($26K), along with a perfect rating (5.0). Although it's hourly, the rate is high ($50 - $100/hr), making it attractive despite its urgency and temporariness.",Hourly,$50.00,https://www.upwork.com/jobs/~021920125944392555569,,,,,,
Lead generation with job ads,972,5/7/2025 9:23am,4 hrs ago,No,,3,"The job is not located in the US or UK, and it is not related to business automation, which is a top priority. The client's rating is below 4, making it less desirable. Although the payment is verified and there is a decent amount spent, the technical mismatch and location priority weigh more heavily.",Hourly,$3.00,https://www.upwork.com/jobs/~021920122195263888636,,,,,,
Airtable + NoCode expert,971,5/7/2025 9:13am,5 hrs ago,No,,4,"The job is located in France, which does not align with the user's top geographic preferences (US and UK). Although it involves Airtable, which is relevant to the user's skills, and has a verified payment with a good client rating and amount spent, these factors are outweighed by the geographic mismatch.",Hourly,$30.00,,,,,,,
Senior HubSpot CRM Business Analyst Needed,970,5/7/2025 9:03am,5 hrs ago,No,,4,"This job does not align well with the user's preference for business automation tools like Make.com, n8n, ClickUp, Airtable, and Google Sheets. Additionally, it's an hourly job rather than fixed-price and involves HubSpot CRM, which may not directly match the user's expertise. While the job is located in the US and the client has verified payment and a perfect rating, the mismatch in required skills leads to a lower score.",Hourly,$25.00,https://www.upwork.com/jobs/~021920117239401572079,,,,,,
UiPath Developer with JavaScript Expertise,969,5/7/2025 8:54am,5 hrs ago,Maybe,,7,"The job is located in the US, payment is verified with a high amount spent, and the client has a high rating. However, the role requires UiPath and JavaScript skills, which do not match the core skills of Make.com, n8n, ClickUp, Airtable, GoHighLevel, and Google Sheets. It is also an hourly job rather than fixed-price.",Hourly,$15.00,https://www.upwork.com/jobs/~021920114627788258712,,,,,,
Lead Scraping Specialist for Managed Services Agency,968,5/7/2025 8:51am,5 hrs ago,No,,4,"The job is not focused on business automation and involves lead scraping, which is not the user's expertise. Although it is fixed-price, payment verified, located in the US, and offers a decent budget, the client has a low rating of 3.95 with only $990 spent.",Fixed,$500.00,https://www.upwork.com/jobs/~021920113951638796145,,,,,,
"Lead Generation Specialist Needed with Clay, Apollo, or Ocean.io",967,5/7/2025 8:38am,5 hrs ago,No,,4,"The job is not located in the US or UK but in Switzerland. It is not directly related to business automation and involves lead generation using specific tools that do not match the user's expertise. Payment is verified with a high amount spent and a high rating, but the job mismatches in skills and location priorities.",Hourly,$10.00,https://www.upwork.com/jobs/~021920110359347684430,,,,,,
"Part-Time n8n Expert for Ongoing Automation Support (Hourly, As-Needed)",966,5/7/2025 8:38am,5 hrs ago,No,,5,"The position is hourly and based in Portugal, which doesn't align with the preference for US or UK locations. Although it is related to n8n, and payment is verified with high client ratings and amount spent, the location and contract type are not ideal.",Hourly,$10.00,https://www.upwork.com/jobs/~021920110097060837233,,,,,,
Prospect List Building &amp; Lead Research (Google Sheets + LinkedIn),965,5/7/2025 8:35am,5 hrs ago,Maybe,,6,"The job is located in the US and the client has verified payments with a high amount spent ($26K) and a perfect 5.0 rating, which aligns with priorities. However, the job is not specifically related to business automation and is hourly rather than fixed-price, slightly misaligning with the user's preferences.",Hourly,$10.00,https://www.upwork.com/jobs/~021920109963950405489,,,,,,
AI Tools Consultant Needed for Implementation and Support,964,5/7/2025 8:26am,5 hrs ago,No,,3,"Job is AI-focused, not a clear match for business automation skills. Though located in the US with payment verified and a 5.0 rating, requires AI expertise and involves hourly pay.",Hourly,$19.00,https://www.upwork.com/jobs/~021920107946637222990,,,,,,
Voice AI Project - Prompt Engineer - Immediate Fillful Needed,963,5/7/2025 7:52am,6 hrs ago,No,,4,"The job is located in the US and has a verified payment with a high amount spent, which aligns with preferences. However, it is not related to business automation and is focused on AI and machine learning, which are not the user's expertise. Additionally, the client rating is slightly lower than ideal.",Hourly,$30.00,https://www.upwork.com/jobs/~021920099359146534639,,,,,,
Intelligent Automation Expert Needed for AI Agency,962,5/7/2025 7:37am,6 hrs ago,Maybe,,6,"The job is related to automation, which matches your expertise. It is hourly and not fixed-price, which is less preferred. The client is located in IRL (Ireland), which is neither US nor UK. However, the client has verified payment, a high rating of 4.91, and has spent $3K, which is a positive aspect.",Hourly,$10.00,https://www.upwork.com/jobs/~021920095384851932238,,,,,,
HubSpot email building,961,5/7/2025 7:26am,6 hrs ago,No,,4,"This job is located in the UK, which is a lower priority. It is also an hourly job instead of fixed-price, which the user prefers. Although the client has a high rating and verified payment, the job is not relevant to business automation, which is the user's expertise.",Hourly,$10.00,https://www.upwork.com/jobs/~021920092785192712049,,,,,,
AI Developer – To Help Build / Troubleshoot Our 1st Agent Build (Currently in Make.Com),960,5/7/2025 7:12am,7 hrs ago,Yes,,8,"The job is closely related to business automation, specifically involving Make.com, which matches your skills. It is located in the UK, which is a slightly lower priority but still acceptable. The client's payment is verified, and they have a high spend of $62K with a perfect rating of 5.0. Even though it is hourly, the client seems reputable, increasing the potential attractiveness of the offer.",Hourly,$22.00,https://www.upwork.com/jobs/~021920089194506643183,,,,,,
Lemlist+Hubspot Integration,959,5/7/2025 7:03am,7 hrs ago,No,,4,"The job is located in India, while the user prioritizes US or UK locations. Though it is fixed-price and payment is verified with a high client rating and some amount spent, it focuses on Lemlist and Hubspot integration, not directly on the platforms the user is skilled with.",Fixed,$80.00,https://www.upwork.com/jobs/~021920087050630096623,,,,,,
Model Org Structure,958,5/7/2025 6:07am,8 hrs ago,No,,3,"The job is located in the US and has a verified payment with a 5.0 client rating, which is positive. However, the job involves manual data collection from LinkedIn into Excel, which does not align with your expertise in business automation tools. Additionally, it is an hourly job with a rate of $20, which is less preferable compared to fixed-price jobs.",Hourly,$20.00,https://www.upwork.com/jobs/~021920071248133732210,,,,,,
Build a Custom GPT to Guide Sales Reps Through Landscape Project Quoting,957,5/7/2025 5:50am,8 hrs ago,No,,5,"The job is not located in the US or UK, and while the client has an excellent rating and high amount spent, it focuses on AI rather than business automation. It's also hourly, not fixed-price.",Hourly,$10.00,https://www.upwork.com/jobs/~021920068517191902959,,,,,,
Salesforce B2B Commerce Cloud Architect,956,5/7/2025 5:37am,8 hrs ago,No,,2,"The job is for a Salesforce B2B Commerce Cloud Architect, which doesn't align with the user's skills in business automation with Make.com, n8n, ClickUp, Airtable, GoHighLevel (GHL), and Google Sheets. Additionally, the job is located in India, and fixed-price preference isn't met as it is hourly.",Hourly,$10.00,https://www.upwork.com/jobs/~021920065250902261144,,,,,,
Lawyer Lead Generation,955,5/7/2025 5:31am,8 hrs ago,No,,4,"The job is hourly with low pay and located in the UK, which is a lower priority for the user. The role focuses on lead generation and list building, which is not directly related to the user's expertise in business automation. While the client has verified payment and a good rating with $11K spent, the job criteria do not align well with user's skills and preferences.",Hourly,$3.00,https://www.upwork.com/jobs/~021920063851931853902,,,,,,
Salesforce Integration Specialist with AI Expertise,954,5/7/2025 5:09am,9 hrs ago,No,,3,"The job focuses on Salesforce and AI expertise, which is not aligned with your expertise in business automation tools like Make.com and n8n. Additionally, the job is located in India, which does not match your preference for US or UK jobs. Despite the payment being verified and the client having a high rating and reasonable amount spent, the job's location and skill requirements are not a good fit.",Fixed,$100.00,https://www.upwork.com/jobs/~021920058176174515278,,,,,,
Need a lead list 100k+ in the home improvement niche,953,5/7/2025 4:41am,9 hrs ago,No,,4,"The job is for lead generation, not business automation, and is hourly. Although it's in the US with payment verified and a high client rating, it doesn't align with the user's expertise in business automation tools.",Hourly,$10.00,https://www.upwork.com/jobs/~021920051276061849457,,,,,,
AI Automation Specialist needed: AI Agent with Chatbot interface make.com (for lead generation),952,5/7/2025 4:35am,9 hrs ago,Yes,,9,"The job is located in the United States, which is a top priority. It is a fixed-price job, aligning with the user's preference. The client's payment is verified with a high spent amount of $8K and an excellent rating of 4.99. The role focuses on business automation and involves make.com, aligning well with the user's expertise.",Fixed,$30.00,https://www.upwork.com/jobs/~021920049739717895246,,,,,,
Automation Expert Needed for Task Management System,951,5/7/2025 4:34am,9 hrs ago,Maybe,,6,"The job is related to business automation and is located in the US, which aligns with high priorities. Payment is verified with a decent amount spent, but the client rating is not available, which is a concern. It is an hourly job, which is not preferred, but could still be considered due to its alignment with expertise.",Hourly,$20.00,https://www.upwork.com/jobs/~021920049545444179352,,,,,,
Lead list - Pet brands,950,5/7/2025 4:25am,9 hrs ago,No,,3,"The job is located in the UK, which has a slightly lower priority. It is an hourly job, and the focus is on lead generation and list building rather than business automation, which is your area of expertise. However, payment is verified, the client has a high rating of 4.96, and they have spent $6K, indicating reliability.",Hourly,$10.00,https://www.upwork.com/jobs/~021920047308714940035,,,,,,
100 Leads of School&#39;s Principal,949,5/7/2025 4:04am,10 hrs ago,No,,3,"The job is not business automation related, pays a low fixed price, and while it is based in the US, it does not utilize the user's specific skills in tools like Make.com, n8n, or ClickUp.",Fixed,$10.00,https://www.upwork.com/jobs/~021920041644372744265,,,,,,
Custom GPT Development in OpenAI,948,5/7/2025 3:26am,10 hrs ago,No,,3,"The job is located in Germany, which is not a priority country. It involves custom GPT development rather than business automation, which is the user's expertise. Client has good payment history and rating, but it's an hourly job with a medium hourly rate, not fixed-price.",Hourly,$15.00,https://www.upwork.com/jobs/~021920032325532240134,,,,,,
Lead Generation for Personal Training and Fitness Coaching Businesses,947,5/7/2025 2:29am,11 hrs ago,No,,3,"The job is located in Australia, not in the preferred US or UK. Although the payment is verified, and the client has a good rating and spending history, the job is related to lead generation rather than business automation, which is not a strong match for your skills.",Fixed,$100.00,https://www.upwork.com/jobs/~021920017925714856198,,,,,,
HubSpot Specialist,946,5/7/2025 2:12am,12 hrs ago,No,,3,"The job is located in IDN, which is not a priority location. It's a low fixed-price offer ($50), the payment is verified but with a low amount spent ($110), and the client has no ratings. The job is not directly related to the user's expertise in business automation tools like Make.com, n8n, etc.",Fixed,$50.00,https://www.upwork.com/jobs/~021920013626185282029,,,,,,
GoogleSheet coding,945,5/7/2025 12:54am,13 hrs ago,No,,4,"The job is located in India, which does not align with the top preference for US or UK locations. Although it is a fixed-price job and payment is verified with a high client rating, the amount spent is relatively low and the budget for the job is only $10, which is not ideal.",Fixed,$10.00,,,,,,,
Data Scraper &amp; Enricher for Roofing Companies (Ongoing Work – $4/hr),944,5/7/2025 12:42am,13 hrs ago,No,,4,"This job is located in the UK, which is not a top priority. It is hourly, whereas the user prefers fixed-price jobs. The position focuses on data scraping and lead generation, not directly related to business automation, which is the user's expertise. While the client has payment verified and a high amount spent with a great rating, the low hourly rate is not ideal for the user's skill level.",Hourly,$4.00,https://www.upwork.com/jobs/~021919990983830729197,,,,,,
HubSpot + Microsoft 365 CoPilot Automation Expert,943,5/7/2025 12:30am,13 hrs ago,No,,4,"The job is located in the US, which aligns with the top priority. The client has a high rating (4.98) and payment is verified with a decent amount spent ($6K). However, the job primarily focuses on HubSpot and Microsoft 365 CoPilot, which are not within your specified expertise. It is also an hourly job rather than fixed-price, which is a preference but not a strict requirement. Considering these factors and the lack of alignment with your skills, it is not a strong fit.",Hourly,$10.00,https://www.upwork.com/jobs/~021919988083468388614,,,,,,
Experienced B2B Lead Generation Specialist - Call list,942,5/7/2025 12:12am,14 hrs ago,No,,4,"The job is focused on B2B lead generation, not business automation, and is based in Australia, which is not a preferred location. While the client has verified payment and a high rating with substantial spending, the job's nature and location make it unsuitable.",Fixed,$1.00,https://www.upwork.com/jobs/~021919983510960003172,,,,,,
HubSpot Setup and Implementation Specialist Needed,941,5/6/2025 11:57pm,14 hrs ago,Maybe,,6,"The job is located in the US and payment is verified with a high amount spent, which are strong positives. The client also has a high rating of 4.91. However, it focuses on HubSpot setup rather than business automation tools like Make.com or Airtable that you specialize in. Additionally, it is an hourly job rather than fixed-price, which is less preferred.",Hourly,$35.00,https://www.upwork.com/jobs/~021919979737768319076,,,,,,
Google Sheets to Airtable Sync &amp; Google Chatbot Development for Gym Assistant,940,5/6/2025 11:18pm,14 hrs ago,No,,5,"The job is related to business automation, which matches your skills, and it includes tools you're proficient in. However, it is located in Australia, which doesn't fall within your top or slightly lower priority locations. Although the client has a high rating and payment is verified, preference is given to jobs in the US or UK.",Fixed,$350.00,https://www.upwork.com/jobs/~021919970106007867614,,,,,,
Build Interactive College Map with Airtable + Mapbox Integration (No-Code or Light Code),939,5/6/2025 11:10pm,15 hrs ago,Maybe,,7,"The job is located in the US, which is a top priority, and payment is verified. However, the client has no ratings and low amount spent. The job involves Airtable, which matches your skills, but it's hourly, which is not your preferred payment model.",Hourly,$15.00,https://www.upwork.com/jobs/~021919967885596150022,,,,,,
LinkedIn Outreach Specialist (B2B Lead Gen – US Market Only),938,5/6/2025 10:58pm,15 hrs ago,No,,3,"This job is for a LinkedIn outreach specialist, which does not align with the user's expertise in business automation with tools like Make.com, n8n, etc. Additionally, though it is for the US market, the job is located with an Australian client, and the user prefers US-located jobs. Despite payment verification and a high client rating, the low amount spent and unrelated job focus reduce its relevance.",Hourly,$10.00,https://www.upwork.com/jobs/~021919964988648223900,,,,,,
Automation System Development with GHL &amp; AI Agents,937,5/6/2025 10:27pm,15 hrs ago,Maybe,,6,"The job involves GHL and automation, which aligns with your skills, and the client has a high rating of 5.0 with payment verified and $4K spent. However, the job is in Canada, which is outside your top location preferences. The job is also hourly, whereas you prefer fixed-price jobs.",Hourly,$15.00,https://www.upwork.com/jobs/~021919957126068860060,,,,,,
WhatsApp Business Setup + API Integration Help,936,5/6/2025 10:20pm,15 hrs ago,Maybe,,7,"The job is in the UK, which is a slightly lower priority compared to US jobs, but still relevant. It involves n8n, matching your skills with business automation, which is a high priority. The client's payment is verified, has a high rating of 5.0, and has spent $1K, which adds credibility. However, the job is hourly, whereas you prefer fixed-price jobs. Overall, it matches several of your criteria with some compromises.",Hourly,$10.00,https://www.upwork.com/jobs/~021919955518411493598,,,,,,
Zapier Specialist Needed to Connect Webflow Forms to HubSpot,935,5/6/2025 9:48pm,16 hrs ago,No,,5,"This job is hourly, which is not the user's strong preference for fixed-price jobs. It is located in the US and payment is verified with a high amount spent and high client rating, which are positive aspects. However, the job focuses on Zapier, not on the user's preferred platforms like Make.com or n8n. Thus, it is not aligned with the user's main expertise in business automation.",Hourly,$15.00,https://www.upwork.com/jobs/~021919947438772703454,,,,,,
AI Web Scraper Needed: Extract Local Competitor Data + Indexed Pages into Google Sheet,934,5/6/2025 9:47pm,16 hrs ago,Maybe,,7,"The job is located in the US, which is a top priority. The client's payment is verified and they have spent a high amount ($30K) with a perfect rating (5.0). However, it's an hourly job with a lower rate range ($8 - $25) and is more focused on web scraping than business automation, which is the user's main expertise.",Hourly,$8.00,https://www.upwork.com/jobs/~021919947076749742302,,,,,,
No-Code Lead Gen &amp; Automation Specialist (Make + Google Sheets + ChatGPT Integration,933,5/6/2025 9:27pm,16 hrs ago,Yes,,9,"This job fits well with your skills in Make.com and Google Sheets, and it is a fixed-price job located in the US, which meets your top priority. The client has verified payment and a high rating of 4.94 with $1K spent, indicating reliability. The focus on automation aligns with your expertise.",Fixed,$200.00,https://www.upwork.com/jobs/~021919942031034079332,,,,,,
Experienced GoHighLevel (GHL) CRM Expert Needed,932,5/6/2025 9:23pm,16 hrs ago,Yes,,9,"The job is highly relevant as it seeks an expert in GoHighLevel, which aligns with your skills. It is located in the USA, which is a top priority. The client's payment is verified, they have spent $7K, and they have a perfect 5.0 rating, meeting all your preferences aside from being an hourly job. However, these strong factors warrant a high recommendation.",Hourly,$15.00,https://www.upwork.com/jobs/~021919941051680672006,,,,,,
"Integration Specialist Needed for Form, Google Calendar, and Slack",931,5/6/2025 8:50pm,17 hrs ago,Maybe,,7,"The job is related to automation, which aligns with your expertise. It's located in the USA, matching your top location preference, and the payment is verified. However, the client has spent a low amount ($400) and has no ratings, which could pose risks.",Hourly,$20.00,https://www.upwork.com/jobs/~021919932651051997284,,,,,,
VA for Web Research – Collect Contact Info from U.S. Public Records,930,5/6/2025 8:38pm,17 hrs ago,No,,3,"The job is located in the US, which is a top priority. However, it's an hourly job with a low rate ($3/hr), which is not ideal for a business automation expert. The client's rating is high at 5.0 and payment is verified, but the job focus is web research and data entry, which doesn't align with your expertise in business automation. Additionally, the client has a low amount spent ($896), which reduces trust in potential future opportunities.",Hourly,$3.00,https://www.upwork.com/jobs/~021919929529080535140,,,,,,
Botpress/make.com troubleshoot,929,5/6/2025 8:32pm,17 hrs ago,Maybe,,6,"The job involves troubleshooting with Make.com which matches your skills in business automation. However, it is an hourly job, not fixed-price, and it's located in Australia instead of your preferred US or UK. The client has payment verified and a moderate amount spent ($3K), with a decent rating of 4.3. Therefore, it's worth considering, but not a strong match with your top preferences.",Hourly,$10.00,https://www.upwork.com/jobs/~021919928263870238942,,,,,,
Website Migration from WordPress to HubSpot,928,5/6/2025 8:29pm,17 hrs ago,No,,3,"The job is located in Australia, which is not a priority location. It is an hourly job, whereas the user prefers fixed-price jobs. Although the client has payment verified, high spent amount, and a 5.0 rating, the job is not related to business automation.",Hourly,$14.00,https://www.upwork.com/jobs/~021919927478719116444,,,,,,
Automation Specialist for Content Creation using make.com and n8n,927,5/6/2025 8:24pm,17 hrs ago,Yes,,8,"The job is for an automation specialist using make.com and n8n, aligning well with your expertise. It is located in the US, the client's payment is verified, and they have a high rating of 5.0. The client has spent $157, indicating some history but not a high amount spent. The client prefers hourly work, which is not your preference, but as you are open to hourly, it's worth considering.",Hourly,$10.00,https://www.upwork.com/jobs/~021919926173296522396,,,,,,
Setup Vapi.ai Voice agent to integrate with GoHighLevel,926,5/6/2025 7:57pm,18 hrs ago,Maybe,,6,"The job is related to business automation and involves GoHighLevel, which is within your skill set. However, it is an hourly job and located in Singapore, which may not align with your preference for US or UK jobs. The client does have a verified payment method, a high rating of 4.78, and has spent $12K, indicating reliability.",Hourly,$10.00,https://www.upwork.com/jobs/~021919919390655043684,,,,,,
